Messstellennummer;Datum;Parameter;Einheit;Messwert
10421;2019-06-26;Benzen;µg/l;-0,10
10421;2019-06-26;Ethylbenzen;µg/l;-0,10
10421;2019-06-26;Toluen;µg/l;-0,10
10421;2019-06-26;Xylen (meta/para);µg/l;-0,10
10421;2019-06-26;Xylen (ortho);µg/l;-0,10
10421;2019-06-26;Cumol;µg/l;-0,10
10421;2019-06-26;Naphtalin;µg/l;-0,01
10421;2019-06-26;Acenaphthylen;µg/l;-0,01
10421;2019-06-26;Acenaphthen;µg/l;0,00
10421;2019-06-26;Fluoren;µg/l;0,00
10421;2019-06-26;Phenanthren;µg/l;0,00
10421;2019-06-26;Anthracen;µg/l;-0,01
10421;2019-06-26;Fluoranthen;µg/l;0,00
10421;2019-06-26;Pyren;µg/l;0,00
10421;2019-06-26;Benz-a-Anthracen;µg/l;0,00
10421;2019-06-26;Chrysen;µg/l;0,00
10421;2019-06-26;Benz-b-Fluoranthen;µg/l;0,00
10421;2019-06-26;Benz-k-Fluoranthen;µg/l;0,00
10421;2019-06-26;Benz-a-Pyren;µg/l;0,00
10421;2019-06-26;Dibenz-a,h-Anthracen;µg/l;0,00
10421;2019-06-26;Benz-g,h,i-Perylen;µg/l;0,00
10421;2019-06-26;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
10421;2019-06-26;Summe Na+Cl;mg/l;104,00
10421;2019-06-26;Ionenbilanz (Labor);ohne Einheit;0,00
10421;2019-10-16;Temperatur (Luft);grd Celsius;13,00
10421;2019-10-16;pH-Wert (Feld);ohne Einheit;7,10
10421;2019-10-16;Temperatur (Wasser);grd C;11,40
10421;2019-10-16;Leitfähigkeit 25°C vor Ort;µS/cm;1030,00
10421;2019-10-16;Wasserst.(ROK) vor;m;2,51
10421;2019-10-16;Wasserst.(ROK) nach;m;2,60
10421;2019-10-16;Entnahmeteufe (ROK);m unter ROK;4,00
10421;2019-10-16;Förderrate;l/s;0,25
10421;2019-10-16;Redox Pumpbeginn;mV;313,00
10421;2019-10-16;O2-Gehalt Pumpbeg.;mg/l;0,00
10421;2019-10-16;Redox Pumpende;mV;211,00
10421;2019-10-16;pH Pumpende;ohne Einheit;7,00
10421;2019-10-16;O2-Gehalt Pumpende;mg/l;0,00
10421;2019-10-16;Chlorid;mg/l;78,00
10421;2019-10-16;Fluorid;mg/l;0,28
10421;2019-10-16;Hydrogenkarbonat;mg/l;247,70
10421;2019-10-16;Nitrit (N);mg/l N;-0,01
10421;2019-10-16;Nitrat (N);mg/l N;-0,02
10421;2019-10-16;Ortho-Phosphat (P);mg/l P;-0,01
10421;2019-10-16;Sulfat;mg/l;217,00
10421;2019-10-16;Cyanide (ges.);mg/l;0,00
10421;2019-10-16;Bromid;mg/l;0,11
10421;2019-10-16;Nitrit;mg/l;-0,03
10421;2019-10-16;Nitrat;mg/l;-0,09
10421;2019-10-16;Ortho-Phosphat;mg/l;-0,03
10421;2019-10-16;Ammonium (N);mg/l N;-0,02
10421;2019-10-16;Eisen-2;mg/l;1,42
10421;2019-10-16;Eisen (ges.);mg/l;1,40
10421;2019-10-16;Kalium;mg/l;1,80
10421;2019-10-16;Kalzium;mg/l;157,00
10421;2019-10-16;Magnesium;mg/l;19,00
10421;2019-10-16;Natrium;mg/l;24,20
10421;2019-10-16;Mangan;mg/l;0,07
10421;2019-10-16;Ammonium;mg/l;-0,03
10421;2019-10-16;Leitfähigkeit /Lab. bei 25°C;µS/cm;1024,00
10421;2019-10-16;UV-Adsorption (254);1/m;2,70
10421;2019-10-16;CSV (KMNO4);mg/l O2;-0,50
10421;2019-10-16;Basenkap. bis 8.2;mmol/l;0,47
10421;2019-10-16;Säure-Kap. bis 4.3;mmol/l;4,06
10421;2019-10-16;Kohlenstoff (organ.);mg/l C;1,60
10421;2019-10-16;pH-Wert /Lab.;ohne Einheit;7,20
10421;2019-10-16;Gesamthärte;mmol/l;4,69
10421;2019-10-16;Karbonathärte;mmol/l;2,03
10421;2019-10-16;AOX;µg/l;-10,00
10421;2019-10-16;Phenolindex (ges.);µg/l;-10,00
10421;2019-10-16;LHKW (Summe);µg/l;-0,10
10421;2019-10-16;BTXE (Summe);µg/l;-0,10
10421;2019-10-16;Arsen;µg/l;1,00
10421;2019-10-16;Barium;µg/l;86,00
10421;2019-10-16;Blei;µg/l;-0,10
10421;2019-10-16;Bor;µg/l;21,00
10421;2019-10-16;Cadmium;µg/l;-0,03
10421;2019-10-16;Chrom;µg/l;-0,10
10421;2019-10-16;Kupfer;µg/l;-0,10
10421;2019-10-16;Aluminium-gelöst;µg/l;2,50
10421;2019-10-16;Molybdän;µg/l;1,00
10421;2019-10-16;Nickel;µg/l;0,15
10421;2019-10-16;Quecksilber;µg/l;-0,01
10421;2019-10-16;Selen;µg/l;-0,90
10421;2019-10-16;Zink;µg/l;2,50
10421;2019-10-16;Vanadium;µg/l;-0,10
10421;2019-10-16;Thallium;µg/l;-0,05
10421;2019-10-16;Uran;µg/l;-0,05
10421;2019-10-16;Dichlormethan;µg/l;-0,10
10421;2019-10-16;Trichlormethan;µg/l;-0,10
10421;2019-10-16;Tetrachlormethan;µg/l;-0,10
10421;2019-10-16;1,2-Dichlorethan;µg/l;-0,10
10421;2019-10-16;cis-1,2-Dichloreth.;µg/l;-0,10
10421;2019-10-16;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
10421;2019-10-16;Trichlorethen;µg/l;-0,10
10421;2019-10-16;Tetrachlorethen;µg/l;-0,10
10421;2019-10-16;Vinylchlorid;µg/l;-0,10
10421;2019-10-16;trans-1,2-Dichloret.;µg/l;-0,10
10421;2019-10-16;Benzen;µg/l;-0,10
10421;2019-10-16;Ethylbenzen;µg/l;-0,10
10421;2019-10-16;Toluen;µg/l;-0,10
10421;2019-10-16;Xylen (meta/para);µg/l;-0,10
10421;2019-10-16;Xylen (ortho);µg/l;-0,10
10421;2019-10-16;Cumol;µg/l;-0,10
10421;2019-10-16;Naphtalin;µg/l;-0,01
10421;2019-10-16;Acenaphthylen;µg/l;-0,01
10421;2019-10-16;Acenaphthen;µg/l;0,00
10421;2019-10-16;Fluoren;µg/l;0,00
10421;2019-10-16;Phenanthren;µg/l;0,00
10421;2019-10-16;Anthracen;µg/l;-0,01
10421;2019-10-16;Fluoranthen;µg/l;0,00
10421;2019-10-16;Pyren;µg/l;0,00
10421;2019-10-16;Benz-a-Anthracen;µg/l;0,00
10421;2019-10-16;Chrysen;µg/l;0,00
10421;2019-10-16;Benz-b-Fluoranthen;µg/l;0,00
10421;2019-10-16;Benz-k-Fluoranthen;µg/l;0,00
10421;2019-10-16;Benz-a-Pyren;µg/l;0,00
10421;2019-10-16;Dibenz-a,h-Anthracen;µg/l;0,00
10421;2019-10-16;Benz-g,h,i-Perylen;µg/l;0,00
10421;2019-10-16;Indeno-1,2,3-cd-Pyr.;µg/l;0,00
10421;2019-10-16;Summe Na+Cl;mg/l;102,20
10421;2019-10-16;Ionenbilanz (Labor);ohne Einheit;-2,30
10421;2020-05-13;Temperatur (Luft);grd Celsius;7,00
10421;2020-05-13;pH-Wert (Feld);ohne Einheit;7,10
10421;2020-05-13;Temperatur (Wasser);grd C;10,90
10421;2020-05-13;Leitfähigkeit 25°C vor Ort;µS/cm;1021,00
10421;2020-05-13;Wasserst.(ROK) vor;m;2,40
10421;2020-05-13;Wasserst.(ROK) nach;m;2,48
10421;2020-05-13;Entnahmeteufe (ROK);m unter ROK;4,00
10421;2020-05-13;Förderrate;l/s;0,25
10421;2020-05-13;Redox Pumpbeginn;mV;334,00
10421;2020-05-13;O2-Gehalt Pumpbeg.;mg/l;0,00
10421;2020-05-13;Redox Pumpende;mV;247,00
10421;2020-05-13;pH Pumpende;ohne Einheit;7,10
10421;2020-05-13;O2-Gehalt Pumpende;mg/l;0,00
10421;2020-05-13;Chlorid;mg/l;80,00
10421;2020-05-13;Fluorid;mg/l;0,26
10421;2020-05-13;Hydrogenkarbonat;mg/l;250,80
10421;2020-05-13;Nitrit (N);mg/l N;-0,01
10421;2020-05-13;Nitrat (N);mg/l N;-0,02
10421;2020-05-13;Ortho-Phosphat (P);mg/l P;-0,01
10421;2020-05-13;Sulfat;mg/l;218,00
10421;2020-05-13;Cyanide (ges.);mg/l;0,00
10421;2020-05-13;Bromid;mg/l;0,13
10421;2020-05-13;Nitrit;mg/l;-0,03
10421;2020-05-13;Nitrat;mg/l;-0,09
10421;2020-05-13;Ortho-Phosphat;mg/l;-0,03
10421;2020-05-13;Ammonium (N);mg/l N;0,03
10421;2020-05-13;Eisen-2;mg/l;1,40
10421;2020-05-13;Eisen (ges.);mg/l;1,40
10421;2020-05-13;Kalium;mg/l;2,55
10421;2020-05-13;Kalzium;mg/l;153,00
10421;2020-05-13;Magnesium;mg/l;18,60
10421;2020-05-13;Natrium;mg/l;25,00
10421;2020-05-13;Mangan;mg/l;0,07
10421;2020-05-13;Ammonium;mg/l;0,04
10421;2020-05-13;Leitfähigkeit /Lab. bei 25°C;µS/cm;983,00
10421;2020-05-13;UV-Adsorption (254);1/m;2,60
10421;2020-05-13;CSV (KMNO4);mg/l O2;0,50
10421;2020-05-13;Basenkap. bis 8.2;mmol/l;0,56
10421;2020-05-13;Säure-Kap. bis 4.3;mmol/l;4,11
10421;2020-05-13;Kohlenstoff (organ.);mg/l C;1,50
10421;2020-05-13;pH-Wert /Lab.;ohne Einheit;7,20
10421;2020-05-13;Gesamthärte;mmol/l;4,59
10421;2020-05-13;Karbonathärte;mmol/l;2,06
10421;2020-05-13;AOX;µg/l;-10,00
10421;2020-05-13;Phenolindex (ges.);µg/l;-14,00
10421;2020-05-13;LHKW (Summe);µg/l;-0,10
10421;2020-05-13;BTXE (Summe);µg/l;0,10
10421;2020-05-13;Arsen;µg/l;0,87
10421;2020-05-13;Barium;µg/l;86,00
10421;2020-05-13;Blei;µg/l;0,17
10421;2020-05-13;Bor;µg/l;22,00
10421;2020-05-13;Cadmium;µg/l;-0,03
10421;2020-05-13;Chrom;µg/l;0,10
10421;2020-05-13;Kupfer;µg/l;-0,10
10421;2020-05-13;Aluminium-gelöst;µg/l;3,10
10421;2020-05-13;Molybdän;µg/l;0,96
10421;2020-05-13;Nickel;µg/l;-0,10
10421;2020-05-13;Quecksilber;µg/l;-0,01
10421;2020-05-13;Selen;µg/l;-0,90
10421;2020-05-13;Zink;µg/l;1,30
10421;2020-05-13;Vanadium;µg/l;-0,10
10421;2020-05-13;Thallium;µg/l;-0,05
10421;2020-05-13;Uran;µg/l;-0,05
10421;2020-05-13;Dichlormethan;µg/l;-0,10
10421;2020-05-13;Trichlormethan;µg/l;-0,10
10421;2020-05-13;Tetrachlormethan;µg/l;-0,10
10421;2020-05-13;1,2-Dichlorethan;µg/l;-0,10
10421;2020-05-13;cis-1,2-Dichloreth.;µg/l;-0,10
10421;2020-05-13;1,1,1-Tri-Cl-Ethan;µg/l;-0,10
10421;2020-05-13;Trichlorethen;µg/l;-0,10
10421;2020-05-13;Tetrachlorethen;µg/l;-0,10
10421;2020-05-13;Vinylchlorid;µg/l;-0,10
10421;2020-05-13;trans-1,2-Dichloret.;µg/l;-0,10
10421;2020-05-13;Benzen;µg/l;-0,10
10421;2020-05-13;Ethylbenzen;µg/l;-0,10
10421;2020-05-13;Toluen;µg/l;0,30
10421;2020-05-13;Xylen (meta/para);µg/l;-0,10
10421;2020-05-13;Xylen (ortho);µg/l;-0,10
10421;2020-05-13;Cumol;µg/l;-0,10
